iter	Passed	Remaining
0	929	138470
1	1840	136233
2	2631	128946
3	3445	125768
4	4246	123151
5	5010	120243
6	5698	116418
7	6408	113742
8	7190	112655
9	7908	110724
10	8637	109152
11	9441	108577
12	10170	107176
13	10821	105121
14	11515	103636
15	12346	103403
16	13121	102656
17	13808	101260
18	14502	99991
19	15241	99071
20	15996	98266
21	16772	97587
22	17494	96597
23	18248	95803
24	19031	95157
25	19714	94021
26	20424	93046
27	21192	92340
28	21951	91591
29	22604	90417
30	23191	89025
31	23994	88479
32	24730	87681
33	25441	86800
34	26101	85762
35	26909	85212
36	27628	84378
37	28237	83224
38	28802	81975
39	29406	80867
40	30032	79841
41	30599	78684
42	31167	77555
43	31765	76524
44	32319	75411
45	32904	74391
46	33467	73342
47	34160	72590
48	34703	71531
49	35326	70653
50	35911	69710
51	36572	68925
52	37193	68071
53	37898	67374
54	38492	66486
55	39107	65645
56	39862	65038
57	40562	64340
58	41280	63669
59	41925	62888
60	42629	62196
61	43335	61508
62	44071	60860
63	44840	60254
64	45487	59484
65	46207	58809
66	46989	58210
67	47642	57451
68	48229	56616
69	48994	55994
70	49747	55352
71	50327	54521
72	50977	53770
73	51700	53098
74	52454	52454
75	53149	51750
76	53744	50952
77	54477	50287
78	55189	49600
79	55823	48845
80	56533	48157
81	57333	47545
82	58059	46867
83	58688	46112
84	59263	45319
85	59887	44567
86	60571	43861
87	61245	43150
88	61864	42401
89	62461	41641
90	63244	41004
91	63886	40276
92	64506	39536
93	65085	38774
94	65701	38037
95	66426	37364
96	67144	36686
97	67633	35887
98	68267	35168
99	68995	34497
100	69557	33745
101	70177	33024
102	70824	32318
103	71469	31611
104	72158	30924
105	72960	30285
106	73568	29564
107	74231	28867
108	74965	28198
109	75650	27509
110	76470	26868
111	77100	26159
112	77822	25481
113	78550	24805
114	79237	24115
115	79875	23411
116	80487	22701
117	81210	22023
118	81866	21326
119	82589	20647
120	83089	19914
121	83647	19197
122	84204	18483
123	84798	17780
124	85413	17082
125	86083	16396
126	86800	15719
127	87410	15023
128	88043	14332
129	88592	13629
130	89100	12923
131	89703	12232
132	90211	11530
133	90814	10843
134	91388	10154
135	92102	9481
136	92767	8802
137	93435	8124
138	94203	7454
139	94749	6767
140	95507	6096
141	96124	5415
142	96743	4735
143	97433	4059
144	98150	3384
145	98883	2709
146	99645	2033
147	100412	1356
148	101034	678
149	101862	0
