filepath,target_class,fold
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\101154860_1678188319988_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\101779929_1676891315410_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\102818616_1679398518928_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\103262728_1678358550353_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\103996864_1679478988620_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\107255303_1679480281314_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\111010061_1681375151362_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\112751302_1681211256567_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\113711048_1678192962370_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\113762604_1666166300577_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\114211151_1677745339911_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\114923358_1680625976823_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\116352304_1675766940763_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\116725145_1675675822175_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\117756210_1678783794606_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\11914351_1675867718937_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\12187959_1666174258639_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\122245931_1678095705007_640x360 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\122869322_1680775475320_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1234447058_1660842631230-uxK8gY.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1234447058_1660842631230.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\12384548_1676972637008_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\124169163_1678188173835_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\125743662_1678785366486_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\125896856_1678441284370_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\126236216_1681291254513_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1263128632_1660829903780-1zJ4yr.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1263128632_1660829903780.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\12808412_1666166189250_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\129367021_1675170179750_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\129400262_1680163134376_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\131356793_1666339757331_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\132348744_1680161730894_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\132778972_1677144474902_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\132861415_1678358732149_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\133366213_1680628117151_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1356805596_1660839755886-iVfJ3E.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1356805596_1660839755886.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\135727454_1677144181173_640x360 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\135781773_1679398256481_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\137830326_1681212207918_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1381794059_1660842631230-xaqzfk.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1381794059_1660842631230.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1401955865_1660827126214-XcKNW5.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1401955865_1660827126214.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\140320475_1680513073695_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\140564928_1678354253028_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\14120634_1677751291389_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\142569429_1672156089260_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\142992799_1678781877581_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\143563285_1678186375437_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\145283197_1679560373417_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\145650541_1677143855306_640x360 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\145680679_1677745577720_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\145714998_1678095625717_640x360 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\145785822_1678184925395_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\146228649_1674575528157_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\146341101_1680628398086_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\146345650_1677151385491_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\147081577_1660842855223.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\147796652_1678786619288_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\148120442_1660842685264.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\148353682_1679397093587_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\148583235_1674560599686_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\148650557_1677144721556_640x360 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\148946452_1677490706251_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\149322256_1677146590924_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\149666440_1679392724824_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\15081941_1677145734702_640x360 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1537662202_1661273790805-fpIXJ3.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1537662202_1661273790805.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\154638602_1678188272928_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\154846899_1678440253664_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1550182326_1661274001642-BPWeao.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1550182326_1661274001642.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\155153446_1680509105525_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\155244454_1678533322289_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1564623702_1660843451471-mF1FXZ.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1564623702_1660843451471.jpg,Alternaria_D,4
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\15702461_1677155587063_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\158117900_1680085274845_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\158687082_1679481569784_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\15895308_1666338737370_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\15895308_1666338737370_640x480.jpg,Alternaria_D,1
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\160000557_1675871143282_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\161145434_1678188330888_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\161502554_1678183431185_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\162267881_1678697358102_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,3
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1625614365_1660843034539-sQzmqB.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\1625614365_1660843034539.jpg,Alternaria_D,2
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\163079245_1677578250041_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,0
C:\Users\krsan\Desktop\crop\dataset onion\onion datasets\Alternaria_D\163240544_1678357887801_640x480 - Copie - Copie - Copie.jpg,Alternaria_D,2
