image_path,filename,target_class,width,height,channels,mode,fold
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201326.jpg,blurred_IMG_20230630_201326.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201327.jpg,blurred_IMG_20230630_201327.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,3
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201328.jpg,blurred_IMG_20230630_201328.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201328_1.jpg,blurred_IMG_20230630_201328_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,1
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201329.jpg,blurred_IMG_20230630_201329.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201330.jpg,blurred_IMG_20230630_201330.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,3
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201330_1.jpg,blurred_IMG_20230630_201330_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,0
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201331.jpg,blurred_IMG_20230630_201331.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201332.jpg,blurred_IMG_20230630_201332.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,0
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201332_1.jpg,blurred_IMG_20230630_201332_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201333.jpg,blurred_IMG_20230630_201333.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,0
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201334.jpg,blurred_IMG_20230630_201334.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,3
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201335.jpg,blurred_IMG_20230630_201335.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201335_1.jpg,blurred_IMG_20230630_201335_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,4
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201336.jpg,blurred_IMG_20230630_201336.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,4
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201337.jpg,blurred_IMG_20230630_201337.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,0
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201337_1.jpg,blurred_IMG_20230630_201337_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,4
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201338.jpg,blurred_IMG_20230630_201338.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201339.jpg,blurred_IMG_20230630_201339.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,1
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201339_1.jpg,blurred_IMG_20230630_201339_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,3
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201340.jpg,blurred_IMG_20230630_201340.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,0
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201341.jpg,blurred_IMG_20230630_201341.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,1
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201341_1.jpg,blurred_IMG_20230630_201341_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,0
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201342.jpg,blurred_IMG_20230630_201342.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201343.jpg,blurred_IMG_20230630_201343.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201343_1.jpg,blurred_IMG_20230630_201343_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201344.jpg,blurred_IMG_20230630_201344.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,3
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201345.jpg,blurred_IMG_20230630_201345.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,1
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201345_1.jpg,blurred_IMG_20230630_201345_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,2
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201346.jpg,blurred_IMG_20230630_201346.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,4
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201347.jpg,blurred_IMG_20230630_201347.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,3
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201348.jpg,blurred_IMG_20230630_201348.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,4
C:\Users\krsan\Desktop\crop\dataset orange\Citrus_Canker_Diseases_Leaf_Orange\blurred_IMG_20230630_201348_1.jpg,blurred_IMG_20230630_201348_1.jpg,Citrus_Canker_Diseases_Leaf_Orange,256,256,3,RGB,1
