filepath,target_class,fold
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (1).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (10).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (11).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (12).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (13).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (14).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (15).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (16).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (17).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (18).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (19).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (2).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (20).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (21).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (22).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (23).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (24).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (25).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (26).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (27).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (28).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (29).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (3).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (30).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (31).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (32).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (33).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (34).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (35).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (36).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (37).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (38).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (39).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (4).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (40).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (41).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (42).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (43).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (44).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (45).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (46).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (47).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (48).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (49).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (5).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (50).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (6).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (7).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (8).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (9).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (1).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (10).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (11).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (12).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (13).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (14).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (15).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (16).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (17).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (18).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (19).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (2).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (20).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (21).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (22).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (23).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (24).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (25).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (26).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (27).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (28).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (29).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (3).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (30).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (31).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (32).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (33).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (34).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (35).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (36).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (37).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (38).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (39).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (4).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (40).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (41).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (42).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (43).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (44).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (45).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (46).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (47).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (48).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (49).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (5).jpg,bacterial_blight,1
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (50).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (6).jpg,bacterial_blight,3
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (7).jpg,bacterial_blight,0
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (8).jpg,bacterial_blight,4
C:\Users\krsan\Desktop\crop\dataset soybean\bacterial_blight\bb (9).jpg,bacterial_blight,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (1).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (10).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (11).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (12).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (13).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (14).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (15).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (16).JPG,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (17).JPG,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (18).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (19).JPG,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (2).jpg,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (20).jpg,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (21).jpg,brown_spot,2
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (22).jpg,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (23).jpg,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (24).jpg,brown_spot,0
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (25).jpg,brown_spot,1
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (26).JPG,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (27).JPG,brown_spot,4
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (3).jpg,brown_spot,3
C:\Users\krsan\Desktop\crop\dataset soybean\brown_spot\bs (4).jpg,brown_spot,3
