filepath,target_class,fold
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy100_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy101_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy102_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy103_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy104_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy105_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy106_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy107_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy108_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy109_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy10_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy110_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy111_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy112_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy113_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy114_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy115_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy116_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy117_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy118_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy119_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy11_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy120_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy121_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy122_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy123_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy124_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy125_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy126_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy127_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy128_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy129_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy12_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy130_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy131_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy132_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy133_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy134_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy135_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy136_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy137_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy138_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy139_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy13_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy140_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy141_.jpg,healthy,4
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy142_.jpg,healthy,3
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy143_.jpg,healthy,0
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy144_.jpg,healthy,2
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy145_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy146_.jpg,healthy,1
C:\Users\krsan\Desktop\crop\dataset Tomato\healthy\healthy147_.jpg,healthy,1
